filename,precision_mean,recall_mean
minilm_1024_mmr10,0'26296291666666666,0'3333333333333333
minilm_1024_mmr10ner,0'26428583333333333,0'3333333333333333
minilm_1024_mmr20,0'25595249999999997,0'2916666666666667
minilm_1024_mmr20ner,0'26257,0'375
minilm_1024_mmr5,0'25833333333333336,0'2916666666666667
minilm_1024_mmr5ner,0'2708333333333333,0'2916666666666667
minilm_1024_similarity10,0'3315970833333333,0'5
minilm_1024_similarity10ner,0'3125,0'4166666666666667
minilm_1024_similarity20,0'33827416666666665,0'5833333333333334
minilm_1024_similarity20ner,0'314815,0'4583333333333333
minilm_1024_similarity5,0'32638875,0'4583333333333333
minilm_1024_similarity5ner,0'3055554166666667,0'375
minilm_512_mmr10,0'18824416666666666,0'2916666666666667
minilm_512_mmr10ner,0'13194458333333334,0'16666666666666666
minilm_512_mmr20,0'17175958333333333,0'25
minilm_512_mmr20ner,0'134375,0'20833333333333334
minilm_512_mmr5,0'17500000000000002,0'20833333333333334
minilm_512_mmr5ner,0'125,0'125
minilm_512_similarity10,0'21817125,0'375
minilm_512_similarity10ner,0'19097208333333335,0'2916666666666667
minilm_512_similarity20,0'22077541666666667,0'4166666666666667
minilm_512_similarity20ner,0'1941770833333333,0'3333333333333333
minilm_512_similarity5,0'20138875,0'25
minilm_512_similarity5ner,0'19097208333333335,0'2916666666666667
minilm_full_mmr10,0'46567458333333334,0'5833333333333334
minilm_full_mmr10ner,0'4618058333333333,0'625
minilm_full_mmr20,0'44733791666666667,0'5416666666666666
minilm_full_mmr20ner,0'46805583333333334,0'7083333333333334
minilm_full_mmr5,0'4583333333333333,0'5416666666666666
minilm_full_mmr5ner,0'4375,0'4583333333333333
minilm_full_similarity10,0'4921295833333333,0'6666666666666666
minilm_full_similarity10ner,0'4799108333333333,0'625
minilm_full_similarity20,0'4994416666666666,0'7916666666666666
minilm_full_similarity20ner,0'48614958333333336,0'7083333333333334
minilm_full_similarity5,0'4875,0'625
minilm_full_similarity5ner,0'46875,0'5416666666666666
mpnet_1024_mmr10,0'3069941666666667,0'4583333333333333
mpnet_1024_mmr10ner,0'26527791666666667,0'4166666666666667
mpnet_1024_mmr20,0'3043983333333333,0'4583333333333333
mpnet_1024_mmr20ner,0'25841375,0'4583333333333333
mpnet_1024_mmr5,0'3020833333333333,0'375
mpnet_1024_mmr5ner,0'27222208333333336,0'375
mpnet_1024_similarity10,0'3463958333333333,0'5833333333333334
mpnet_1024_similarity10ner,0'29513875,0'4583333333333333
mpnet_1024_similarity20,0'3488466666666667,0'625
mpnet_1024_similarity20ner,0'30106166666666667,0'5416666666666666
mpnet_1024_similarity5,0'3229166666666667,0'4166666666666667
mpnet_1024_similarity5ner,0'28750000000000003,0'4166666666666667
mpnet_512_mmr10,0'23402791666666667,0'3333333333333333
mpnet_512_mmr10ner,0'23032375000000002,0'375
mpnet_512_mmr20,0'23564,0'4166666666666667
mpnet_512_mmr20ner,0'2061604166666667,0'4166666666666667
mpnet_512_mmr5,0'22916666666666666,0'25
mpnet_512_mmr5ner,0'23958291666666667,0'375
mpnet_512_similarity10,0'26851833333333336,0'4166666666666667
mpnet_512_similarity10ner,0'19444458333333334,0'25
mpnet_512_similarity20,0'27961833333333336,0'5833333333333334
mpnet_512_similarity20ner,0'21211916666666664,0'4583333333333333
mpnet_512_similarity5,0'26388875,0'375
mpnet_512_similarity5ner,0'1875,0'20833333333333334
mpnet_full_mmr10,0'5254629166666667,0'7083333333333334
mpnet_full_mmr10ner,0'5354166666666668,0'7916666666666666
mpnet_full_mmr20,0'5178179166666667,0'7916666666666666
mpnet_full_mmr20ner,0'52809375,0'7916666666666666
mpnet_full_mmr5,0'5222220833333333,0'625
mpnet_full_mmr5ner,0'5243054166666666,0'625
mpnet_full_similarity10,0'5779429166666666,0'8333333333333334
mpnet_full_similarity10ner,0'5152774999999999,0'6666666666666666
mpnet_full_similarity20,0'5838141666666666,0'9166666666666666
mpnet_full_similarity20ner,0'5273525,0'8333333333333334
mpnet_full_similarity5,0'5673608333333333,0'75
mpnet_full_similarity5ner,0'5069441666666666,0'5833333333333334
